,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
95,Labuhan,ID,1570421183,100,49,-2.54,115.51,32.78,0.98
96,Porbandar,IN,1570421183,0,83,21.64,69.61,27.0,2.1
97,Lipin Bor,RU,1570421183,100,93,60.26,37.97,-0.38,3.55
98,Clyde River,CA,1570421183,1,92,70.47,-68.59,-7.0,2.1
99,Guerrero Negro,MX,1570421184,0,77,27.97,-114.04,20.9,6.57
100,Tianpeng,CN,1570421184,100,70,28.88,112.34,16.21,3.31
101,Provideniya,RU,1570421184,90,80,64.42,-173.23,2.0,5.0
102,Bocaiuva,BR,1570421184,0,49,-17.12,-43.81,23.0,2.97
103,Northam,AU,1570421184,0,37,-31.65,116.67,22.0,5.1
104,Zhezkazgan,KZ,1570421184,40,26,47.8,67.71,9.0,4.0
105,Kununurra,AU,1570421184,75,36,-15.77,128.74,35.0,3.6
106,Saint-Philippe,CA,1570421184,90,87,45.36,-73.48,16.67,5.1
107,Shediac,CA,1570421185,90,76,46.22,-64.55,12.22,5.7
108,Chuy,UY,1570421185,0,90,-33.69,-53.46,12.75,3.71
109,Yar-Sale,RU,1570421185,0,76,66.83,70.83,1.2,9.49
110,Vao,EE,1570421185,100,85,59.1,26.19,4.13,2.75
111,Dondo,MZ,1570421185,0,95,-19.62,34.74,17.26,0.49
112,Kouroussa,GN,1570421185,100,98,10.65,-9.88,21.39,2.03
113,Necochea,AR,1570421058,67,57,-38.55,-58.74,15.56,7.6
114,Luderitz,NA,1570421185,0,71,-26.65,15.16,14.0,5.7
115,Phan Thiet,VN,1570421186,100,67,10.93,108.1,28.45,2.05
116,Severo-Kurilsk,RU,1570421186,0,81,50.68,156.12,7.73,8.47
117,Pevek,RU,1570421186,100,78,69.7,170.27,-1.73,6.09
118,Baghdad,IQ,1570421121,0,49,33.3,44.38,23.0,1.5
119,Cidreira,BR,1570421186,91,87,-30.17,-50.22,14.8,2.58
120,Cape Town,ZA,1570421182,20,93,-33.93,18.42,15.56,2.6
121,Usinsk,RU,1570421186,100,95,66.0,57.56,-1.04,2.57
122,Carutapera,BR,1570421186,2,83,-1.2,-46.02,25.45,2.26
123,Mehamn,NO,1570421186,40,100,71.03,27.85,5.0,1.0
124,Champerico,MX,1570421187,75,73,16.38,-93.6,25.0,6.2
125,Margate,AU,1570421187,75,44,-43.03,147.26,14.44,4.1
126,Narsaq,GL,1570421187,40,34,60.91,-46.05,11.0,8.7
127,Hervey Bay,AU,1570421187,0,58,-25.3,152.85,28.0,7.2
128,Woodward,US,1570421187,1,71,36.43,-99.39,11.67,3.1
129,Atbasar,KZ,1570421187,0,44,51.81,68.36,8.83,3.44
130,Muriwai Beach,NZ,1570421187,63,72,-36.82,174.45,18.33,7.2
131,Krasnyy Chikoy,RU,1570421188,46,68,50.36,108.75,0.23,5.24
132,Dunedin,NZ,1570421041,70,72,-45.87,170.5,13.33,0.45
133,Poum,MK,1570421188,40,81,41.28,20.71,6.0,4.1
134,Soligalich,RU,1570421188,100,97,59.08,42.29,2.38,3.89
135,Cherskiy,RU,1570421188,15,79,68.75,161.3,-6.92,1.57
136,Kamenka,MD,1570421188,97,79,48.03,28.7,2.22,2.21
137,Husavik,CA,1570421188,48,77,50.56,-96.99,7.78,2.24
138,Hobart,AU,1570421188,75,44,-42.88,147.33,14.44,4.1
139,Ponta do Sol,BR,1570421189,95,62,-20.63,-46.0,22.1,2.18
140,Nelson Bay,AU,1570421189,75,73,-32.72,152.14,23.89,7.7
141,Pascagoula,US,1570421189,1,94,30.37,-88.56,26.0,1.5
142,Inta,RU,1570421189,100,92,66.04,60.13,-0.09,5.15
143,Ibimirim,BR,1570421189,0,79,-8.54,-37.69,20.01,4.99
144,Koumac,NC,1570421189,0,76,-20.56,164.28,21.58,7.62
145,Great Bend,US,1570421189,1,93,38.36,-98.78,10.0,1.89
146,Axim,GH,1570421190,47,87,4.87,-2.24,24.89,4.0
147,Galesong,ID,1570421013,20,38,-5.32,119.37,34.0,3.1
148,Yanam,IN,1570421190,20,74,16.73,82.22,30.0,3.1
149,Krasnoarmeysk,RU,1570421190,90,97,56.12,38.15,2.22,5.0
150,High Level,CA,1570421190,75,53,58.52,-117.13,10.0,3.1
151,Qarqin,AF,1570421190,0,37,37.41,66.03,21.0,4.9
152,Castro,CL,1570421190,40,81,-42.48,-73.76,7.0,3.6
153,Geraldton,CA,1570421190,40,93,49.72,-86.95,7.0,5.7
154,Kaitangata,NZ,1570421191,98,71,-46.28,169.85,12.22,1.34
155,Port-Gentil,GA,1570421191,88,86,-0.72,8.78,25.44,5.58
156,Rodez,FR,1570421191,90,100,44.35,2.57,12.22,4.6
157,Atambua,ID,1570421191,8,64,-9.11,124.89,26.27,4.04
158,Grafton,AU,1570421191,0,19,-29.69,152.93,39.44,5.1
159,Thompson,CA,1570421191,75,86,55.74,-97.86,3.0,2.1
160,Kautokeino,NO,1570421191,100,90,69.01,23.04,0.48,3.65
161,Terney,RU,1570421191,0,43,45.05,136.61,13.12,2.91
162,Vila do Maio,CV,1570421192,75,88,15.13,-23.22,26.0,4.6
163,Bambous Virieux,MU,1570421053,40,88,-20.34,57.76,23.0,6.2
164,Mar del Plata,AR,1570421192,80,66,-46.43,-67.52,8.8,11.19
165,Ribeira Grande,PT,1570421192,69,94,38.52,-28.7,20.36,9.85
166,Santo Amaro da Imperatriz,BR,1570421192,40,88,-27.69,-48.78,18.0,3.1
167,Livingston,US,1570421010,90,100,40.8,-74.31,21.11,1.5
168,Igarka,RU,1570421192,88,85,67.47,86.57,0.21,6.04
169,Marawi,PH,1570421192,93,78,8.0,124.29,29.44,3.13
170,Berlevag,NO,1570421193,40,100,70.86,29.09,2.0,1.0
171,Sisimiut,GL,1570421193,15,72,66.94,-53.67,1.12,3.49
172,Seydi,NE,1570421193,0,57,13.34,7.75,27.41,3.0
173,Elko,US,1570421193,1,42,40.83,-115.76,8.33,2.1
174,Rio Gallegos,AR,1570421193,40,69,-51.62,-69.22,5.0,4.1
175,Barbastro,ES,1570421193,64,71,42.04,0.13,14.44,7.2
176,San Carlos de Bariloche,AR,1570421193,75,86,-41.13,-71.31,4.0,6.7
177,Myaundzha,RU,1570421193,0,68,63.05,147.18,-11.2,1.53
178,Lebu,ET,1570421047,10,83,8.96,38.73,9.98,2.04
179,Mukacheve,UA,1570421194,60,100,48.44,22.72,0.56,2.23
180,Martapura,ID,1570421194,100,57,-3.41,114.85,31.37,3.79
181,San Patricio,PY,1570421194,36,96,-26.98,-56.83,14.97,2.06
182,Roncesvalles,CO,1570421194,75,100,4.01,-75.61,18.0,1.5
183,Saint-Pierre,FR,1570421194,90,100,48.95,4.24,12.0,5.1
184,Kokopo,PG,1570421194,75,57,-4.34,152.27,31.04,0.39
185,Mayumba,GA,1570421194,100,89,-3.44,10.65,24.8,6.12
186,Eureka,US,1570421026,1,93,40.8,-124.16,12.78,4.73
187,Pangoa,PE,1570421195,100,99,-12.12,-73.0,19.96,0.88
188,Westport,US,1570420977,90,77,41.14,-73.36,21.11,6.7
189,Touros,BR,1570421195,75,78,-5.2,-35.46,25.0,5.1
190,Hasaki,JP,1570421195,75,78,35.73,140.83,23.89,5.7
191,Hualmay,PE,1570421195,16,92,-11.1,-77.61,15.75,6.68
192,Saint-Joseph,FR,1570421195,0,87,43.56,6.97,17.78,1.0
193,Flinders,AU,1570421195,90,72,-34.58,150.85,23.33,4.1
194,Esperance,AU,1570421196,75,87,-33.86,121.89,15.0,4.1
195,Nuuk,GL,1570421196,0,77,64.17,-51.74,0.0,2.6
196,Huarmey,PE,1570421196,48,93,-10.07,-78.15,15.76,6.44
197,Casino,AU,1570421196,0,15,-28.86,153.05,38.33,3.1
198,Vardo,US,1570421196,20,88,39.62,-77.74,20.0,1.5
199,Shahpur,IN,1570421196,21,78,22.19,77.91,25.44,1.99
200,Atocha,AR,1570421196,0,66,-24.82,-65.48,14.0,1.5
201,Hobyo,SO,1570421168,35,71,5.35,48.53,26.38,3.01
202,Kruisfontein,ZA,1570421197,100,84,-34.0,24.73,14.45,0.67
203,Mwene-Ditu,CD,1570421197,100,91,-7.01,23.45,19.94,0.89
204,Kabompo,ZM,1570421197,71,52,-13.6,24.21,18.14,1.82
205,Cap Malheureux,MU,1570421197,40,88,-19.98,57.61,23.0,6.2
206,Lompoc,US,1570421197,1,45,34.64,-120.46,19.0,2.1
207,Igdir,IR,1570421197,20,75,37.52,45.24,8.0,2.1
208,Leh,IN,1570421197,99,56,34.16,77.58,-0.72,3.38
209,Padang,ID,1570421198,100,82,-0.92,100.36,25.62,5.62
210,Saldanha,PT,1570421198,9,50,41.42,-6.55,14.43,0.59
211,San Cristobal,HN,1570421198,75,91,14.68,-86.92,19.81,2.02
212,Thinadhoo,MV,1570421198,91,76,0.53,72.93,27.85,5.12
213,Emerald,AU,1570421198,0,14,-23.53,148.16,37.22,3.6
214,Dhidhdhoo,MV,1570421198,97,73,6.88,73.1,28.35,3.91
215,Birjand,IR,1570421198,0,14,32.86,59.22,14.0,5.1
216,Bela,PK,1570421199,0,52,26.23,66.31,24.74,1.15
217,Yerbogachen,RU,1570421199,100,77,61.28,108.01,0.39,4.32
218,Kyabram,AU,1570421199,100,41,-36.31,145.05,18.33,2.39
219,Matay,EG,1570421199,0,73,28.42,30.79,19.66,4.55
220,Airai,TL,1570421199,7,42,-8.93,125.41,30.52,2.3
221,Vaitape,PF,1570421199,100,85,-16.52,-151.75,25.07,8.09
222,Kasulu,TZ,1570421199,20,83,-4.57,30.11,21.0,1.25
223,Honiara,SB,1570421200,75,70,-9.43,159.96,32.0,4.6
224,Lorengau,PG,1570421200,28,77,-2.02,147.27,28.78,3.68
225,Los Llanos de Aridane,ES,1570421200,90,69,28.66,-17.92,23.0,7.7
226,Cooma,AU,1570421200,69,32,-36.24,149.13,21.0,6.2
227,Huilong,CN,1570421200,100,89,31.15,106.5,17.25,3.78
228,Iqaluit,CA,1570421200,75,86,63.75,-68.52,3.0,5.1
229,Ostrovnoy,RU,1570421200,100,96,68.05,39.51,0.01,4.76
230,Mpulungu,ZM,1570421201,57,68,-8.77,31.12,18.7,2.42
231,Rock Springs,US,1570421201,1,24,41.59,-109.2,7.0,3.1
232,Kisangani,CD,1570421201,100,99,0.52,25.21,21.31,1.0
233,Itarema,BR,1570421201,8,84,-2.92,-39.92,23.97,3.12
234,Chicama,PE,1570421201,75,87,-7.84,-79.15,16.0,4.1
235,Tiznit,MA,1570421076,0,77,29.7,-9.73,20.79,1.87
236,Rawson,AR,1570421201,10,41,-43.3,-65.11,11.3,15.88
237,Sampit,ID,1570421201,94,60,-2.54,112.95,30.83,2.44
238,Port Hedland,AU,1570421202,0,62,-20.31,118.58,31.0,6.7
239,Dikson,RU,1570421202,55,79,73.51,80.55,-4.68,11.68
240,San Rafael,AR,1570421202,1,28,-34.61,-68.33,14.45,0.72
241,Damghan,IR,1570421202,0,28,36.17,54.34,12.4,2.36
242,Almeirim,BR,1570421202,6,83,-1.53,-52.58,23.98,0.72
243,Zhigalovo,RU,1570421202,98,75,54.81,105.15,1.14,2.47
244,Puerto Colombia,CO,1570421202,75,88,10.99,-74.96,27.0,1.5
245,Turuvekere,IN,1570421203,58,78,13.16,76.67,22.8,1.92
246,Sao Gabriel da Cachoeira,BR,1570421203,68,78,-0.13,-67.09,25.33,0.72
247,Kalmunai,LK,1570421203,100,80,7.42,81.82,25.92,0.4
248,Lauria,IT,1570421203,100,93,40.05,15.84,15.0,2.81
249,Christiansburg,US,1570420993,90,100,37.13,-80.41,19.0,1.87
250,Khatanga,RU,1570421203,0,87,71.98,102.47,-5.04,4.04
251,Mersing,MY,1570421203,66,51,2.43,103.84,32.92,1.07
252,Vestmannaeyjar,IS,1570421203,100,81,63.44,-20.27,9.15,13.8
253,Kassala,SD,1570421204,0,63,15.45,36.38,27.69,4.53
254,Abu Samrah,SY,1570421204,0,89,35.3,37.18,16.8,3.51
255,Adrar,DZ,1570421204,0,19,27.87,-0.29,23.0,4.6
256,Qasigiannguit,GL,1570421204,100,97,68.82,-51.19,0.0,3.6
257,Nisia Floresta,BR,1570421204,40,78,-6.09,-35.21,26.0,5.1
258,Hoquiam,US,1570420931,1,82,46.98,-123.89,13.0,2.1
259,Vestmanna,FO,1570421204,76,87,62.16,-7.17,10.0,14.4
260,Bengbu,CN,1570421205,100,78,32.92,117.38,14.42,1.73
261,Najran,SA,1570421205,0,35,17.54,44.22,22.0,0.12
262,Vorobyevka,RU,1570421205,100,72,50.65,40.92,3.63,5.84
263,Yulara,AU,1570421205,0,18,-25.24,130.99,31.0,5.1
264,Xichang,CN,1570421205,87,87,27.88,102.25,15.18,2.33
265,Mount Gambier,AU,1570421205,90,67,-37.83,140.78,15.0,7.2
266,La Ronge,CA,1570421205,90,65,55.1,-105.3,7.0,2.6
267,Fortuna,US,1570421139,1,93,40.6,-124.16,13.33,6.45
268,Pilar,AR,1570421206,0,50,-34.46,-58.91,17.0,3.6
269,Logrono,ES,1570421206,79,81,42.47,-2.45,12.0,1.0
270,Taksimo,RU,1570421075,26,47,56.36,114.84,-2.14,2.95
271,Sola,TZ,1570421206,43,65,-3.17,33.8,19.92,4.9
272,Hessisch Oldendorf,DE,1570421206,0,80,52.17,9.25,4.44,2.6
273,Santa Cruz,BR,1570421206,24,89,-6.22,-36.02,20.11,4.88
274,Mana,NG,1570421206,0,74,13.03,5.27,25.55,3.51
275,Qazanbulaq,AZ,1570421206,75,55,40.62,46.65,21.0,6.2
276,Grand Gaube,MU,1570421207,40,88,-20.01,57.66,23.0,6.2
277,San Clemente,US,1570421207,1,77,33.43,-117.61,21.67,1.5
278,Ginda,IN,1570421207,75,88,30.69,78.49,23.0,0.49
279,Fredericton,CA,1570420950,90,82,45.97,-66.65,13.0,6.7
280,Oktyabrskiy,RU,1570421207,90,91,55.61,37.97,2.22,7.0
281,Jumla,NP,1570421207,49,67,29.28,82.18,13.89,0.59
282,Dabakala,CI,1570421207,94,98,8.36,-4.43,20.84,1.83
283,Karratha,AU,1570421208,34,7,-20.74,116.85,39.7,4.96
284,Kuliyapitiya,LK,1570421208,20,78,7.47,80.04,28.0,1.5
285,Sioux Lookout,CA,1570420995,90,87,50.1,-91.92,7.0,3.6
286,Umm Kaddadah,SD,1570421208,99,61,13.6,26.69,24.12,4.55
287,Barsana,IN,1570421208,90,40,27.65,77.38,27.46,1.1
288,Cockburn Town,TC,1570421039,97,75,21.46,-71.14,28.74,6.08
289,Sault Sainte Marie,CA,1570421208,20,87,46.49,-84.36,12.0,2.6
290,Bidara,IN,1570421208,100,78,17.91,77.52,24.75,1.96
291,Port Hardy,CA,1570421208,90,93,50.7,-127.42,10.0,6.7
292,Ambilobe,MG,1570421209,0,70,-13.19,49.05,23.37,4.87
293,West Odessa,US,1570421209,1,59,31.84,-102.48,24.0,11.3
294,Indramayu,ID,1570421209,4,37,-4.05,103.78,29.04,2.62
295,Christchurch,NZ,1570421209,9,48,-43.53,172.64,18.89,4.6
296,Nara,JP,1570421073,20,53,34.68,135.8,27.0,3.6
297,Kukuna,SL,1570421209,75,88,8.64,-12.57,23.0,4.6
298,Syamzha,RU,1570421209,100,97,60.02,41.06,0.91,4.33
299,Tamiahua,MX,1570421209,93,80,21.28,-97.45,27.82,3.86
300,Sao Filipe,CV,1570421210,100,87,14.9,-24.5,26.1,6.81
301,Waitati,NZ,1570421210,70,72,-45.75,170.57,13.33,0.45
302,Nha Trang,VN,1570421210,20,59,12.24,109.19,32.0,4.1
303,Mancora,PE,1570421210,61,88,-4.1,-81.05,18.46,10.37
304,Cayenne,GF,1570421056,40,100,4.94,-52.33,23.0,2.01
305,Viedma,AR,1570421210,100,29,-40.81,-62.99,17.78,10.57
306,Coquimbo,CL,1570421210,0,76,-29.95,-71.34,13.89,1.5
307,Poronaysk,RU,1570421211,1,44,49.22,143.1,15.35,4.94
308,Constitucion,MX,1570421211,75,51,23.99,-104.67,21.11,2.1
309,Maniitsoq,GL,1570421211,0,55,65.42,-52.9,1.6,2.2
310,Presidencia Roque Saenz Pena,AR,1570421211,0,76,-26.79,-60.44,14.78,1.57
311,Coahuayana,MX,1570421211,4,95,18.62,-100.35,22.0,0.88
312,Mataram,ID,1570421211,39,39,-5.32,105.06,32.81,0.69
313,Bubaque,GW,1570421211,100,73,11.28,-15.83,28.32,3.47
314,Alofi,NU,1570421212,88,61,-19.06,-169.92,26.0,8.2
315,Hagere Hiywet,ET,1570421212,0,89,8.98,37.85,10.2,1.76
316,Nyagan,RU,1570421212,100,80,62.14,65.43,3.35,1.31
317,Vostok,RU,1570421212,0,49,46.45,135.83,13.31,2.83
318,Georgetown,GY,1570421035,20,100,6.8,-58.16,24.0,2.1
319,Nanakuli,US,1570421212,90,65,21.39,-158.15,28.33,1.5
320,Auki,NG,1570421212,0,85,12.18,6.51,22.72,2.72
321,Katsuura,JP,1570421084,20,57,33.93,134.5,24.0,2.1
322,Lezajsk,PL,1570421212,20,100,50.26,22.42,-1.11,1.5
323,Madhipura,IN,1570421213,64,64,25.92,86.78,28.67,1.16
324,Anchorage,US,1570421085,75,45,61.22,-149.89,8.0,6.2
325,Gol,IN,1570421213,61,53,25.38,72.44,27.71,1.79
326,San Buenaventura,MX,1570421213,5,40,27.06,-101.55,30.0,0.45
327,Havre-Saint-Pierre,CA,1570421213,75,100,50.23,-63.6,4.0,1.5
328,Samarai,PG,1570421213,55,75,-10.62,150.67,26.13,4.44
329,Kushiro,JP,1570421213,75,59,43.11,144.15,16.0,7.2
330,Floro,NO,1570421213,0,80,61.6,5.03,5.0,4.1
331,Inhambane,MZ,1570421214,11,96,-23.87,35.38,17.32,0.72
332,San Jose,HN,1570421103,90,100,14.25,-87.96,21.0,2.1
333,Dawei,MM,1570421214,100,72,14.07,98.19,27.81,3.34
334,Qingdao,CN,1570421214,90,67,36.09,120.35,16.0,3.0
335,Tiarei,PF,1570421214,75,74,-17.53,-149.33,26.0,3.6
336,Luanda,AO,1570421029,75,88,-8.83,13.24,23.0,2.1
337,Te Anau,NZ,1570421214,100,80,-45.41,167.72,7.17,3.69
338,Shingu,JP,1570421214,40,61,33.72,135.99,27.0,2.6
339,Yatou,CM,1570421214,75,100,3.63,9.81,23.0,4.04
340,Avera,US,1570421182,40,78,33.19,-82.53,23.33,3.1
341,Shurugwi,ZW,1570421215,6,39,-19.67,30.0,14.08,2.62
342,La Rioja,AR,1570421126,0,56,-29.41,-66.86,10.84,0.23
343,Palmerston North,NZ,1570421215,60,60,-40.35,175.62,17.78,2.24
344,Chegdomyn,RU,1570421215,100,55,51.13,133.04,9.76,3.95
345,Moose Factory,CA,1570421215,90,76,51.26,-80.61,11.0,7.7
346,Batemans Bay,AU,1570421215,100,39,-35.71,150.18,23.33,2.68
347,Hambantota,LK,1570421192,40,94,6.12,81.12,26.0,1.5
348,Bogorodskoye,RU,1570421215,100,61,52.37,140.44,9.04,6.47
349,Knysna,ZA,1570421215,75,81,-34.04,23.05,12.0,2.6
350,Lhokseumawe,ID,1570421216,100,73,5.18,97.15,26.82,1.14
351,Ayr,AU,1570421216,25,46,-19.58,147.4,30.0,3.51
352,Pangnirtung,CA,1570421216,94,94,66.15,-65.72,-4.36,1.41
353,Evanston,US,1570420962,90,62,42.04,-87.69,15.0,4.1
354,Coos Bay,US,1570421216,1,82,43.37,-124.22,14.0,6.7
355,Bilibino,RU,1570421216,99,84,68.06,166.44,-11.95,1.94
356,Vallenar,CL,1570421216,6,48,-28.58,-70.76,13.4,1.78
357,Lasa,CY,1570421216,40,69,34.92,32.53,24.0,2.1
358,Shache,CN,1570421217,100,82,38.42,77.24,20.56,6.32
359,Kavieng,PG,1570421217,1,75,-2.57,150.8,28.66,6.3
360,Arbagar,RU,1570421217,100,31,51.94,116.28,4.39,8.9
361,Takoradi,GH,1570421217,61,95,4.89,-1.75,22.75,1.47
362,Lodwar,KE,1570421217,15,52,3.12,35.6,26.71,7.77
363,Byron Bay,AU,1570421217,0,69,-28.65,153.62,38.33,6.7
364,Kirakira,SB,1570421217,34,86,-10.46,161.92,26.9,8.23
365,Aklavik,CA,1570421023,75,67,68.22,-135.01,0.0,3.6
366,Kristiansund,NO,1570421218,0,80,63.12,7.73,1.0,4.1
367,Fairbanks,US,1570421119,90,86,64.84,-147.72,1.0,4.1
368,Arman,RU,1570421218,0,71,59.7,150.17,-2.63,2.57
369,Souillac,FR,1570421068,40,93,45.6,-0.6,10.56,3.37
370,La Foa,NC,1570421218,0,42,-21.71,165.83,29.0,6.2
371,Gizo,IL,1570421218,40,73,31.8,34.94,22.0,2.6
372,Bolshevik,BY,1570421218,40,87,54.01,27.57,0.0,2.0
